IATA code,Lat Decimal Degrees,Long Decimal Degrees
HDY,6.933,100.393
HEA,34.21,62.228
HEH,20.743,96.792
HEL,60.32,24.956
HEM,60.254,25.043
HER,35.339,25.18
HEW,37.888,23.732
HEX,18.471,-69.969
HFA,32.811,35.044
HFD,41.736,-72.65
HFE,31.78,117.298
HFN,64.296,-15.227
HGA,9.518,44.089
HGH,30.228,120.432
HGO,9.387,-5.556
HGS,8.394,-13.128
HGU,-5.826,144.296
HHN,49.95,7.264
HHQ,12.634,99.951
HHR,33.923,-118.335
HIB,47.386,-92.839
HIF,41.124,-111.973
HIJ,34.435,132.922
HJR,24.819,79.919
HKD,41.77,140.822
HKG,22.309,113.914
HKK,-42.714,170.985
HKT,8.113,98.317
HKY,35.741,-81.389
HLA,-25.938,27.926
HLD,49.205,119.825
HLF,57.526,15.824
HLN,46.607,-111.983
HLP,-6.266,106.891
HLR,31.139,-97.714
HLZ,-37.866,175.332
HME,31.673,6.14
HMN,32.852,-106.106
HMO,29.096,-111.048
HMR,60.818,11.067
HNA,39.431,141.136
HND,35.552,139.779
HNL,21.316,-157.927
HNM,20.796,-156.014
HOB,32.688,-103.217
HOG,20.786,-76.315
HOI,-18.075,-140.946
HOM,59.646,-151.476
HON,44.385,-98.228
HOP,36.668,-87.496
HOQ,50.289,11.855
HOR,38.52,-28.716
HOU,29.645,-95.279
HOW,8.914,-79.599
HPA,-19.777,-174.341
HPN,41.067,-73.707
HRB,45.623,126.25
HRE,-17.932,31.093
HRG,27.184,33.798
HRL,26.228,-97.654
HRM,32.93,3.312
HRO,36.261,-93.155
HRT,30.428,-86.689
HST,25.488,-80.384
HTA,52.026,113.305
HTF,51.767,0.25
HTL,44.36,-84.671
HTN,37.038,79.866
HUA,34.679,-86.685
HUE,-19.08,-169.926
HUF,39.451,-87.307
HUH,-16.687,-151.022
HUL,46.123,-67.792
HUN,24.023,121.618
HUV,61.768,17.081
HUX,15.775,-96.261
HUY,53.574,-0.351
HVA,-14.629,47.764
HVR,48.543,-109.762
HWO,26.001,-80.24
HYD,17.452,78.461
HZK,65.952,-17.426
IAB,37.623,-97.267
IAD,38.944,-77.456
IAG,43.107,-78.946
IAH,29.98,-95.34
IAM,28.051,9.643
IAS,47.179,27.62
IBA,7.362,3.978
IBE,4.421,-75.133
IBZ,38.873,1.373
ICT,37.65,-97.433
IDR,22.722,75.801
IEG,52.139,15.799
IEO,16.711,-9.638
IEV,50.402,30.452
IFJ,66.058,-23.135
IGA,20.975,-73.667
IGL,38.513,27.01
IGR,-25.738,-54.473
IGU,-25.596,-54.487
IKI,33.749,129.785
IKK,41.071,-87.846
IKT,52.267,104.395
ILG,39.679,-75.606
ILI,59.754,-154.911
ILM,34.271,-77.903
ILO,10.713,122.545
ILR,8.44,4.494
ILY,55.682,-6.257
IMF,24.76,93.897
IMP,-5.531,-47.46
IND,39.717,-86.294
ING,-50.335,-72.248
INH,-23.876,35.408
INK,31.779,-103.201
INL,48.566,-93.403
INN,47.26,11.344
INS,36.587,-115.673
INT,36.134,-80.222
INV,57.54,-4.05
INZ,27.251,2.512
IOA,39.696,20.822
IOM,54.083,-4.624
